scope,gen_raw,gen_norm
summary,1,1
summary,2,2
summary,3,3
summary,4,4
summary,5,5
summary,6,6
summary,7,7
summary,8,8
summary,9,9
summary,10,10
summary,11,11
summary,12,12
summary,13,13
summary,14,14
summary,15,15
summary,16,16
summary,17,17
summary,18,18
summary,19,19
summary,20,20
summary,21,21
summary,22,22
summary,23,23
summary,24,24
summary,25,25
summary,26,26
summary,27,27
summary,28,28
summary,29,29
summary,30,30
summary,31,31
summary,32,32
summary,33,33
summary,34,34
summary,35,35
summary,36,36
summary,37,37
summary,38,38
summary,39,39
summary,40,40
summary,41,41
summary,42,42
summary,43,43
summary,44,44
summary,45,45
summary,46,46
summary,47,47
summary,48,48
summary,49,49
summary,50,50
summary,51,51
summary,52,52
summary,53,53
summary,54,54
summary,55,55
summary,56,56
summary,57,57
summary,58,58
summary,59,59
summary,60,60
summary,61,61
summary,62,62
summary,63,63
summary,64,64
summary,65,65
summary,66,66
summary,67,67
summary,68,68
summary,69,69
summary,70,70
summary,71,71
summary,72,72
summary,73,73
summary,74,74
summary,75,75
summary,76,76
summary,77,77
summary,78,78
summary,79,79
summary,80,80
summary,81,81
summary,82,82
summary,83,83
summary,84,84
summary,85,85
summary,86,86
summary,87,87
summary,88,88
summary,89,89
summary,90,90
summary,91,91
summary,92,92
summary,93,93
summary,94,94
summary,95,95
summary,96,96
summary,97,97
summary,98,98
summary,99,99
summary,100,100
summary,101,101
summary,102,102
summary,103,103
summary,104,104
summary,105,105
summary,106,106
summary,107,107
summary,108,108
summary,109,109
summary,110,110
summary,111,111
summary,112,112
summary,113,113
summary,114,114
summary,115,115
summary,116,116
summary,117,117
summary,118,118
summary,119,119
summary,120,120
summary,121,121
summary,122,122
summary,123,123
summary,124,124
summary,125,125
summary,126,126
summary,127,127
summary,128,128
summary,129,129
summary,130,130
summary,131,131
summary,132,132
summary,133,133
summary,134,134
summary,135,135
summary,136,136
summary,137,137
summary,138,138
summary,139,139
summary,140,140
summary,141,141
summary,142,142
summary,143,143
summary,144,144
summary,145,145
summary,146,146
summary,147,147
summary,148,148
summary,149,149
summary,150,150
summary,151,151
summary,152,152
summary,153,153
summary,154,154
summary,155,155
summary,156,156
summary,157,157
summary,158,158
summary,159,159
summary,160,160
summary,161,161
summary,162,162
summary,163,163
summary,164,164
summary,165,165
summary,166,166
summary,167,167
summary,168,168
summary,169,169
summary,170,170
summary,171,171
summary,172,172
summary,173,173
summary,174,174
summary,175,175
summary,176,176
summary,177,177
summary,178,178
summary,179,179
summary,180,180
summary,181,181
summary,182,182
summary,183,183
summary,184,184
summary,185,185
summary,186,186
summary,187,187
summary,188,188
summary,189,189
summary,190,190
summary,191,191
summary,192,192
summary,193,193
summary,194,194
summary,195,195
summary,196,196
summary,197,197
summary,198,198
summary,199,199
summary,200,200
summary,201,201
summary,202,202
summary,203,203
summary,204,204
summary,205,205
summary,206,206
summary,207,207
summary,208,208
summary,209,209
summary,210,210
summary,211,211
summary,212,212
summary,213,213
summary,214,214
summary,215,215
summary,216,216
summary,217,217
summary,218,218
summary,219,219
summary,220,220
summary,221,221
summary,222,222
summary,223,223
summary,224,224
summary,225,225
summary,226,226
summary,227,227
summary,228,228
summary,229,229
summary,230,230
summary,231,231
summary,232,232
summary,233,233
summary,234,234
summary,235,235
summary,236,236
summary,237,237
summary,238,238
summary,239,239
summary,240,240
summary,241,241
summary,242,242
summary,243,243
summary,244,244
summary,245,245
summary,246,246
summary,247,247
summary,248,248
summary,249,249
summary,250,250
summary,251,251
summary,252,252
summary,253,253
summary,254,254
summary,255,255
summary,256,256
summary,257,257
summary,258,258
summary,259,259
summary,260,260
summary,261,261
summary,262,262
summary,263,263
summary,264,264
summary,265,265
summary,266,266
summary,267,267
summary,268,268
summary,269,269
summary,270,270
summary,271,271
summary,272,272
summary,273,273
summary,274,274
summary,275,275
summary,276,276
summary,277,277
summary,278,278
summary,279,279
summary,280,280
summary,281,281
summary,282,282
summary,283,283
summary,284,284
summary,285,285
summary,286,286
summary,287,287
summary,288,288
summary,289,289
summary,290,290
summary,291,291
summary,292,292
summary,293,293
summary,294,294
summary,295,295
summary,296,296
summary,297,297
summary,298,298
summary,299,299
summary,300,300
summary,301,301
summary,302,302
summary,303,303
summary,304,304
summary,305,305
summary,306,306
summary,307,307
summary,308,308
summary,309,309
summary,310,310
summary,311,311
summary,312,312
summary,313,313
summary,314,314
summary,315,315
summary,316,316
summary,317,317
summary,318,318
summary,319,319
summary,320,320
summary,321,321
summary,322,322
summary,323,323
summary,324,324
summary,325,325
summary,326,326
summary,327,327
summary,328,328
summary,329,329
summary,330,330
summary,331,331
summary,332,332
summary,333,333
summary,334,334
summary,335,335
summary,336,336
summary,337,337
summary,338,338
summary,339,339
summary,340,340
summary,341,341
summary,342,342
summary,343,343
summary,344,344
summary,345,345
summary,346,346
summary,347,347
summary,348,348
summary,349,349
summary,350,350
summary,351,351
summary,352,352
summary,353,353
summary,354,354
summary,355,355
summary,356,356
summary,357,357
summary,358,358
summary,359,359
summary,360,360
summary,361,361
summary,362,362
summary,363,363
summary,364,364
summary,365,365
summary,366,366
summary,367,367
summary,368,368
summary,369,369
summary,370,370
summary,371,371
summary,372,372
summary,373,373
summary,374,374
summary,375,375
summary,376,376
summary,377,377
summary,378,378
summary,379,379
summary,380,380
summary,381,381
summary,382,382
summary,383,383
summary,384,384
summary,385,385
summary,386,386
summary,387,387
summary,388,388
summary,389,389
summary,390,390
summary,391,391
summary,392,392
summary,393,393
summary,394,394
summary,395,395
summary,396,396
summary,397,397
summary,398,398
summary,399,399
summary,400,400
summary,401,401
summary,402,402
summary,403,403
summary,404,404
summary,405,405
summary,406,406
summary,407,407
summary,408,408
summary,409,409
summary,410,410
summary,411,411
summary,412,412
summary,413,413
summary,414,414
summary,415,415
summary,416,416
summary,417,417
summary,418,418
summary,419,419
summary,420,420
summary,421,421
summary,422,422
summary,423,423
summary,424,424
summary,425,425
summary,426,426
summary,427,427
summary,428,428
summary,429,429
summary,430,430
summary,431,431
summary,432,432
summary,433,433
summary,434,434
summary,435,435
summary,436,436
summary,437,437
summary,438,438
summary,439,439
summary,440,440
summary,441,441
summary,442,442
summary,443,443
summary,444,444
summary,445,445
summary,446,446
summary,447,447
summary,448,448
summary,449,449
summary,450,450
summary,451,451
summary,452,452
summary,453,453
summary,454,454
summary,455,455
summary,456,456
summary,457,457
summary,458,458
summary,459,459
summary,460,460
summary,461,461
summary,462,462
summary,463,463
summary,464,464
summary,465,465
summary,466,466
summary,467,467
summary,468,468
summary,469,469
summary,470,470
summary,471,471
summary,472,472
summary,473,473
summary,474,474
summary,475,475
summary,476,476
summary,477,477
summary,478,478
summary,479,479
summary,480,480
summary,481,481
summary,482,482
summary,483,483
summary,484,484
summary,485,485
summary,486,486
summary,487,487
summary,488,488
summary,489,489
summary,490,490
summary,491,491
summary,492,492
summary,493,493
summary,494,494
summary,495,495
summary,496,496
summary,497,497
summary,498,498
summary,499,499
summary,500,500
summary,501,501
summary,502,502
summary,503,503
summary,504,504
summary,505,505
summary,506,506
summary,507,507
summary,508,508
summary,509,509
summary,510,510
summary,511,511
summary,512,512
summary,513,513
summary,514,514
summary,515,515
summary,516,516
summary,517,517
summary,518,518
summary,519,519
summary,520,520
summary,521,521
summary,522,522
summary,523,523
summary,524,524
summary,525,525
summary,526,526
summary,527,527
summary,528,528
summary,529,529
summary,530,530
summary,531,531
summary,532,532
summary,533,533
summary,534,534
summary,535,535
summary,536,536
summary,537,537
summary,538,538
summary,539,539
summary,540,540
summary,541,541
summary,542,542
summary,543,543
summary,544,544
summary,545,545
summary,546,546
summary,547,547
summary,548,548
summary,549,549
summary,550,550
summary,551,551
summary,552,552
summary,553,553
summary,554,554
summary,555,555
summary,556,556
summary,557,557
summary,558,558
summary,559,559
summary,560,560
summary,561,561
summary,562,562
summary,563,563
summary,564,564
summary,565,565
summary,566,566
summary,567,567
summary,568,568
summary,569,569
summary,570,570
summary,571,571
summary,572,572
summary,573,573
summary,574,574
summary,575,575
summary,576,576
summary,577,577
summary,578,578
summary,579,579
summary,580,580
summary,581,581
summary,582,582
summary,583,583
summary,584,584
summary,585,585
summary,586,586
summary,587,587
summary,588,588
summary,589,589
summary,590,590
summary,591,591
summary,592,592
summary,593,593
summary,594,594
summary,595,595
summary,596,596
summary,597,597
summary,598,598
summary,599,599
summary,600,600
summary,601,601
summary,602,602
summary,603,603
summary,604,604
summary,605,605
summary,606,606
summary,607,607
summary,608,608
summary,609,609
summary,610,610
summary,611,611
summary,612,612
summary,613,613
summary,614,614
summary,615,615
summary,616,616
summary,617,617
summary,618,618
summary,619,619
summary,620,620
summary,621,621
summary,622,622
summary,623,623
summary,624,624
summary,625,625
summary,626,626
summary,627,627
summary,628,628
summary,629,629
summary,630,630
summary,631,631
summary,632,632
summary,633,633
summary,634,634
summary,635,635
summary,636,636
summary,637,637
summary,638,638
summary,639,639
summary,640,640
summary,641,641
summary,642,642
summary,643,643
summary,644,644
summary,645,645
summary,646,646
summary,647,647
summary,648,648
summary,649,649
summary,650,650
summary,651,651
summary,652,652
summary,653,653
summary,654,654
summary,655,655
summary,656,656
summary,657,657
summary,658,658
summary,659,659
summary,660,660
summary,661,661
summary,662,662
summary,663,663
summary,664,664
summary,665,665
summary,666,666
summary,667,667
summary,668,668
summary,669,669
summary,670,670
summary,671,671
summary,672,672
summary,673,673
summary,674,674
summary,675,675
summary,676,676
summary,677,677
summary,678,678
summary,679,679
summary,680,680
summary,681,681
summary,682,682
summary,683,683
summary,684,684
summary,685,685
summary,686,686
summary,687,687
summary,688,688
summary,689,689
summary,690,690
summary,691,691
summary,692,692
summary,693,693
summary,694,694
summary,695,695
summary,696,696
summary,697,697
summary,698,698
summary,699,699
summary,700,700
summary,701,701
summary,702,702
summary,703,703
summary,704,704
summary,705,705
summary,706,706
summary,707,707
summary,708,708
summary,709,709
summary,710,710
summary,711,711
summary,712,712
summary,713,713
summary,714,714
summary,715,715
summary,716,716
summary,717,717
summary,718,718
summary,719,719
summary,720,720
summary,721,721
summary,722,722
summary,723,723
summary,724,724
summary,725,725
summary,726,726
summary,727,727
summary,728,728
summary,729,729
summary,730,730
summary,731,731
summary,732,732
summary,733,733
summary,734,734
summary,735,735
summary,736,736
summary,737,737
summary,738,738
summary,739,739
summary,740,740
summary,741,741
summary,742,742
summary,743,743
summary,744,744
summary,745,745
summary,746,746
summary,747,747
summary,748,748
summary,749,749
summary,750,750
summary,751,751
summary,752,752
summary,753,753
summary,754,754
summary,755,755
summary,756,756
summary,757,757
summary,758,758
summary,759,759
summary,760,760
summary,761,761
summary,762,762
summary,763,763
summary,764,764
summary,765,765
summary,766,766
summary,767,767
summary,768,768
summary,769,769
summary,770,770
summary,771,771
summary,772,772
summary,773,773
summary,774,774
summary,775,775
summary,776,776
summary,777,777
summary,778,778
summary,779,779
summary,780,780
summary,781,781
summary,782,782
summary,783,783
summary,784,784
summary,785,785
summary,786,786
summary,787,787
summary,788,788
summary,789,789
summary,790,790
summary,791,791
summary,792,792
summary,793,793
summary,794,794
summary,795,795
summary,796,796
summary,797,797
summary,798,798
summary,799,799
summary,800,800
summary,801,801
summary,802,802
summary,803,803
summary,804,804
summary,805,805
summary,806,806
summary,807,807
summary,808,808
summary,809,809
summary,810,810
summary,811,811
summary,812,812
summary,813,813
summary,814,814
summary,815,815
summary,816,816
summary,817,817
summary,818,818
summary,819,819
summary,820,820
summary,821,821
summary,822,822
summary,823,823
summary,824,824
summary,825,825
summary,826,826
summary,827,827
summary,828,828
summary,829,829
summary,830,830
summary,831,831
summary,832,832
summary,833,833
summary,834,834
summary,835,835
summary,836,836
summary,837,837
summary,838,838
summary,839,839
summary,840,840
summary,841,841
summary,842,842
summary,843,843
summary,844,844
summary,845,845
summary,846,846
summary,847,847
summary,848,848
summary,849,849
summary,850,850
summary,851,851
summary,852,852
summary,853,853
summary,854,854
summary,855,855
summary,856,856
summary,857,857
summary,858,858
summary,859,859
summary,860,860
summary,861,861
summary,862,862
summary,863,863
summary,864,864
summary,865,865
summary,866,866
summary,867,867
summary,868,868
summary,869,869
summary,870,870
summary,871,871
summary,872,872
summary,873,873
summary,874,874
summary,875,875
summary,876,876
summary,877,877
summary,878,878
summary,879,879
summary,880,880
summary,881,881
summary,882,882
summary,883,883
summary,884,884
summary,885,885
summary,886,886
summary,887,887
summary,888,888
summary,889,889
summary,890,890
summary,891,891
summary,892,892
summary,893,893
summary,894,894
summary,895,895
summary,896,896
summary,897,897
summary,898,898
summary,899,899
summary,900,900
summary,901,901
summary,902,902
summary,903,903
summary,904,904
summary,905,905
summary,906,906
summary,907,907
summary,908,908
summary,909,909
summary,910,910
summary,911,911
summary,912,912
summary,913,913
summary,914,914
summary,915,915
summary,916,916
summary,917,917
summary,918,918
summary,919,919
summary,920,920
summary,921,921
summary,922,922
summary,923,923
summary,924,924
summary,925,925
summary,926,926
summary,927,927
summary,928,928
summary,929,929
summary,930,930
summary,931,931
summary,932,932
summary,933,933
summary,934,934
summary,935,935
summary,936,936
summary,937,937
summary,938,938
summary,939,939
summary,940,940
summary,941,941
summary,942,942
summary,943,943
summary,944,944
summary,945,945
summary,946,946
summary,947,947
summary,948,948
summary,949,949
summary,950,950
summary,951,951
summary,952,952
summary,953,953
summary,954,954
summary,955,955
summary,956,956
summary,957,957
summary,958,958
summary,959,959
summary,960,960
summary,961,961
summary,962,962
summary,963,963
summary,964,964
summary,965,965
summary,966,966
summary,967,967
summary,968,968
summary,969,969
summary,970,970
summary,971,971
summary,972,972
summary,973,973
summary,974,974
summary,975,975
summary,976,976
summary,977,977
summary,978,978
summary,979,979
summary,980,980
summary,981,981
summary,982,982
summary,983,983
summary,984,984
summary,985,985
summary,986,986
summary,987,987
summary,988,988
summary,989,989
summary,990,990
summary,991,991
summary,992,992
summary,993,993
summary,994,994
summary,995,995
summary,996,996
summary,997,997
summary,998,998
summary,999,999
summary,1000,1000
summary,1001,1001
summary,1002,1002
summary,1003,1003
summary,1004,1004
summary,1005,1005
summary,1006,1006
summary,1007,1007
summary,1008,1008
summary,1009,1009
summary,1010,1010
summary,1011,1011
summary,1012,1012
summary,1013,1013
summary,1014,1014
summary,1015,1015
summary,1016,1016
summary,1017,1017
summary,1018,1018
summary,1019,1019
summary,1020,1020
summary,1021,1021
summary,1022,1022
summary,1023,1023
summary,1024,1024
summary,1025,1025
summary,1026,1026
summary,1027,1027
summary,1028,1028
summary,1029,1029
summary,1030,1030
summary,1031,1031
summary,1032,1032
summary,1033,1033
summary,1034,1034
summary,1035,1035
summary,1036,1036
summary,1037,1037
summary,1038,1038
summary,1039,1039
summary,1040,1040
summary,1041,1041
summary,1042,1042
summary,1043,1043
summary,1044,1044
summary,1045,1045
summary,1046,1046
summary,1047,1047
summary,1048,1048
summary,1049,1049
summary,1050,1050
summary,1051,1051
summary,1052,1052
summary,1053,1053
summary,1054,1054
summary,1055,1055
summary,1056,1056
summary,1057,1057
summary,1058,1058
summary,1059,1059
summary,1060,1060
summary,1061,1061
summary,1062,1062
summary,1063,1063
summary,1064,1064
summary,1065,1065
summary,1066,1066
summary,1067,1067
summary,1068,1068
summary,1069,1069
summary,1070,1070
summary,1071,1071
summary,1072,1072
summary,1073,1073
summary,1074,1074
summary,1075,1075
summary,1076,1076
summary,1077,1077
summary,1078,1078
summary,1079,1079
summary,1080,1080
summary,1081,1081
summary,1082,1082
summary,1083,1083
summary,1084,1084
summary,1085,1085
summary,1086,1086
summary,1087,1087
summary,1088,1088
summary,1089,1089
summary,1090,1090
summary,1091,1091
summary,1092,1092
summary,1093,1093
summary,1094,1094
summary,1095,1095
summary,1096,1096
summary,1097,1097
summary,1098,1098
summary,1099,1099
summary,1100,1100
summary,1101,1101
summary,1102,1102
summary,1103,1103
summary,1104,1104
summary,1105,1105
summary,1106,1106
summary,1107,1107
summary,1108,1108
summary,1109,1109
summary,1110,1110
summary,1111,1111
summary,1112,1112
summary,1113,1113
summary,1114,1114
summary,1115,1115
summary,1116,1116
summary,1117,1117
summary,1118,1118
summary,1119,1119
summary,1120,1120
summary,1121,1121
summary,1122,1122
summary,1123,1123
summary,1124,1124
summary,1125,1125
summary,1126,1126
summary,1127,1127
summary,1128,1128
summary,1129,1129
summary,1130,1130
summary,1131,1131
summary,1132,1132
summary,1133,1133
summary,1134,1134
summary,1135,1135
summary,1136,1136
summary,1137,1137
summary,1138,1138
summary,1139,1139
summary,1140,1140
summary,1141,1141
summary,1142,1142
summary,1143,1143
summary,1144,1144
summary,1145,1145
summary,1146,1146
summary,1147,1147
summary,1148,1148
summary,1149,1149
summary,1150,1150
summary,1151,1151
summary,1152,1152
summary,1153,1153
summary,1154,1154
summary,1155,1155
summary,1156,1156
summary,1157,1157
summary,1158,1158
summary,1159,1159
summary,1160,1160
summary,1161,1161
summary,1162,1162
summary,1163,1163
summary,1164,1164
summary,1165,1165
summary,1166,1166
summary,1167,1167
summary,1168,1168
summary,1169,1169
summary,1170,1170
summary,1171,1171
summary,1172,1172
summary,1173,1173
summary,1174,1174
summary,1175,1175
summary,1176,1176
summary,1177,1177
summary,1178,1178
summary,1179,1179
summary,1180,1180
summary,1181,1181
summary,1182,1182
summary,1183,1183
summary,1184,1184
summary,1185,1185
summary,1186,1186
summary,1187,1187
summary,1188,1188
summary,1189,1189
summary,1190,1190
summary,1191,1191
summary,1192,1192
summary,1193,1193
summary,1194,1194
summary,1195,1195
summary,1196,1196
summary,1197,1197
summary,1198,1198
summary,1199,1199
summary,1200,1200
summary,1201,1201
summary,1202,1202
summary,1203,1203
summary,1204,1204
summary,1205,1205
summary,1206,1206
summary,1207,1207
summary,1208,1208
summary,1209,1209
summary,1210,1210
summary,1211,1211
summary,1212,1212
summary,1213,1213
summary,1214,1214
summary,1215,1215
summary,1216,1216
summary,1217,1217
summary,1218,1218
summary,1219,1219
summary,1220,1220
summary,1221,1221
summary,1222,1222
summary,1223,1223
summary,1224,1224
summary,1225,1225
summary,1226,1226
summary,1227,1227
summary,1228,1228
summary,1229,1229
summary,1230,1230
summary,1231,1231
summary,1232,1232
summary,1233,1233
summary,1234,1234
summary,1235,1235
summary,1236,1236
summary,1237,1237
summary,1238,1238
summary,1239,1239
summary,1240,1240
summary,1241,1241
summary,1242,1242
summary,1243,1243
summary,1244,1244
summary,1245,1245
summary,1246,1246
summary,1247,1247
summary,1248,1248
summary,1249,1249
summary,1250,1250
summary,1251,1251
summary,1252,1252
summary,1253,1253
summary,1254,1254
summary,1255,1255
summary,1256,1256
summary,1257,1257
summary,1258,1258
summary,1259,1259
summary,1260,1260
summary,1261,1261
summary,1262,1262
summary,1263,1263
summary,1264,1264
summary,1265,1265
summary,1266,1266
summary,1267,1267
summary,1268,1268
summary,1269,1269
summary,1270,1270
summary,1271,1271
summary,1272,1272
summary,1273,1273
summary,1274,1274
summary,1275,1275
summary,1276,1276
summary,1277,1277
summary,1278,1278
summary,1279,1279
summary,1280,1280
summary,1281,1281
summary,1282,1282
summary,1283,1283
summary,1284,1284
summary,1285,1285
summary,1286,1286
summary,1287,1287
summary,1288,1288
summary,1289,1289
summary,1290,1290
summary,1291,1291
summary,1292,1292
summary,1293,1293
summary,1294,1294
summary,1295,1295
summary,1296,1296
summary,1297,1297
summary,1298,1298
summary,1299,1299
summary,1300,1300
summary,1301,1301
summary,1302,1302
summary,1303,1303
summary,1304,1304
summary,1305,1305
summary,1306,1306
summary,1307,1307
summary,1308,1308
summary,1309,1309
summary,1310,1310
summary,1311,1311
summary,1312,1312
summary,1313,1313
summary,1314,1314
summary,1315,1315
summary,1316,1316
summary,1317,1317
summary,1318,1318
summary,1319,1319
summary,1320,1320
summary,1321,1321
summary,1322,1322
summary,1323,1323
summary,1324,1324
summary,1325,1325
summary,1326,1326
summary,1327,1327
summary,1328,1328
summary,1329,1329
summary,1330,1330
summary,1331,1331
summary,1332,1332
summary,1333,1333
summary,1334,1334
summary,1335,1335
summary,1336,1336
summary,1337,1337
summary,1338,1338
summary,1339,1339
summary,1340,1340
summary,1341,1341
summary,1342,1342
